2021-07-07-13-54-48-629735 USER AP-1 USER SVCQ 7 (sent)
2021-07-07-13-54-48-735736 AP-1 192.168.0.2 USER SVCQ 7 (recvd)
2021-07-07-13-54-48-842415 AP-1 EdgeServer-1 AP-1 SVCQ 7 (sent)
2021-07-07-04-54-48-853600 EdgeServer-1 192.168.0.2 AP-1 SVCQ 7 (recvd)
2021-07-07-13-54-49-144087 USER 192.168.0.2 AP-1 SVCR 6 (recvd)
2021-07-07-04-54-49-154681 EdgeServer-1 AP-1 EdgeServer-1 SVCR 7 (sent)
2021-07-07-13-54-49-265358 AP-1 192.168.0.113 EdgeServer-1 SVCR 7 (recvd)
2021-07-07-13-54-49-370064 AP-1 USER AP-1 SVCR 7 (sent)
2021-07-07-13-54-49-657140 USER AP-1 USER SVCQ 8 (sent)
2021-07-07-13-54-49-686946 AP-1 192.168.0.2 USER SVCQ 8 (recvd)
2021-07-07-13-54-49-792348 AP-1 EdgeServer-1 AP-1 SVCQ 8 (sent)
2021-07-07-04-54-49-767706 EdgeServer-1 192.168.0.2 AP-1 SVCQ 8 (recvd)
2021-07-07-04-54-49-894194 EdgeServer-1 AP-1 EdgeServer-1 SVCR 8 (sent)
2021-07-07-13-54-50-006082 AP-1 192.168.0.113 EdgeServer-1 SVCR 8 (recvd)
2021-07-07-13-54-50-111234 AP-1 USER AP-1 SVCR 8 (sent)
2021-07-07-13-54-50-171784 USER 192.168.0.2 AP-1 SVCR 7 (recvd)
2021-07-07-13-54-50-686663 USER AP-1 USER SVCQ 9 (sent)
2021-07-07-13-54-50-748035 AP-1 192.168.0.2 USER SVCQ 9 (recvd)
2021-07-07-13-54-50-854174 AP-1 EdgeServer-1 AP-1 SVCQ 9 (sent)
2021-07-07-04-54-50-927686 EdgeServer-1 192.168.0.2 AP-1 SVCQ 9 (recvd)
2021-07-07-04-54-51-052902 EdgeServer-1 AP-1 EdgeServer-1 SVCR 9 (sent)
2021-07-07-13-54-51-174077 AP-1 192.168.0.113 EdgeServer-1 SVCR 9 (recvd)
2021-07-07-13-54-51-189624 USER 192.168.0.2 AP-1 SVCR 8 (recvd)
2021-07-07-13-54-51-280728 AP-1 USER AP-1 SVCR 9 (sent)
2021-07-07-13-54-51-690729 USER AP-1 USER SVCQ 10 (sent)
2021-07-07-13-54-51-705576 AP-1 192.168.0.2 USER SVCQ 10 (recvd)
2021-07-07-13-54-51-813146 AP-1 EdgeServer-1 AP-1 SVCQ 10 (sent)
2021-07-07-04-54-51-836122 EdgeServer-1 192.168.0.2 AP-1 SVCQ 10 (recvd)
2021-07-07-04-54-51-960966 EdgeServer-1 AP-1 EdgeServer-1 SVCR 10 (sent)
2021-07-07-13-54-52-024651 AP-1 192.168.0.113 EdgeServer-1 SVCR 10 (recvd)
2021-07-07-13-54-52-129761 AP-1 USER AP-1 SVCR 10 (sent)
2021-07-07-13-54-52-204731 USER 192.168.0.2 AP-1 SVCR 9 (recvd)
2021-07-07-13-54-52-715345 USER AP-1 USER SVCQ 11 (sent)
2021-07-07-13-54-52-761467 AP-1 192.168.0.2 USER SVCQ 11 (recvd)
2021-07-07-13-54-52-867125 AP-1 EdgeServer-1 AP-1 SVCQ 11 (sent)
2021-07-07-04-54-52-932954 EdgeServer-1 192.168.0.2 AP-1 SVCQ 11 (recvd)
2021-07-07-04-54-53-034844 EdgeServer-1 AP-1 EdgeServer-1 SVCR 11 (sent)
2021-07-07-13-54-53-079425 AP-1 192.168.0.113 EdgeServer-1 SVCR 11 (recvd)
2021-07-07-13-54-53-185628 AP-1 USER AP-1 SVCR 11 (sent)
2021-07-07-13-54-53-216354 USER 192.168.0.2 AP-1 SVCR 10 (recvd)
2021-07-07-13-54-53-718030 USER AP-1 USER SVCQ 12 (sent)
2021-07-07-13-54-53-823820 AP-1 192.168.0.2 USER SVCQ 12 (recvd)
2021-07-07-13-54-53-929594 AP-1 EdgeServer-1 AP-1 SVCQ 12 (sent)
2021-07-07-04-54-53-957569 EdgeServer-1 192.168.0.2 AP-1 SVCQ 12 (recvd)
2021-07-07-04-54-54-060307 EdgeServer-1 AP-1 EdgeServer-1 SVCR 12 (sent)
2021-07-07-13-54-54-142788 AP-1 192.168.0.113 EdgeServer-1 SVCR 12 (recvd)
2021-07-07-13-54-54-218261 USER 192.168.0.2 AP-1 SVCR 11 (recvd)
2021-07-07-13-54-54-248742 AP-1 USER AP-1 SVCR 12 (sent)
2021-07-07-13-54-54-721784 USER AP-1 USER SVCQ 13 (sent)
2021-07-07-13-54-54-781806 AP-1 192.168.0.2 USER SVCQ 13 (recvd)
2021-07-07-13-54-54-886615 AP-1 EdgeServer-1 AP-1 SVCQ 13 (sent)
2021-07-07-04-54-54-874814 EdgeServer-1 192.168.0.2 AP-1 SVCQ 13 (recvd)
2021-07-07-04-54-54-978358 EdgeServer-1 AP-1 EdgeServer-1 SVCR 13 (sent)
2021-07-07-13-54-55-098016 AP-1 192.168.0.113 EdgeServer-1 SVCR 13 (recvd)
2021-07-07-13-54-55-203322 AP-1 USER AP-1 SVCR 13 (sent)
2021-07-07-13-54-55-233453 USER 192.168.0.2 AP-1 SVCR 12 (recvd)
2021-07-07-13-54-55-734956 USER AP-1 USER SVCQ 14 (sent)
2021-07-07-13-54-55-840864 AP-1 192.168.0.2 USER SVCQ 14 (recvd)
2021-07-07-13-54-55-948460 AP-1 EdgeServer-1 AP-1 SVCQ 14 (sent)
2021-07-07-04-54-56-011759 EdgeServer-1 192.168.0.2 AP-1 SVCQ 14 (recvd)
2021-07-07-04-54-56-113221 EdgeServer-1 AP-1 EdgeServer-1 SVCR 14 (sent)
2021-07-07-13-54-56-162380 AP-1 192.168.0.113 EdgeServer-1 SVCR 14 (recvd)
2021-07-07-13-54-56-237498 USER 192.168.0.2 AP-1 SVCR 13 (recvd)
2021-07-07-13-54-56-267429 AP-1 USER AP-1 SVCR 14 (sent)
2021-07-07-13-54-56-739549 USER AP-1 USER SVCQ 15 (sent)
2021-07-07-13-54-56-799362 AP-1 192.168.0.2 USER SVCQ 15 (recvd)
2021-07-07-13-54-56-905824 AP-1 EdgeServer-1 AP-1 SVCQ 15 (sent)
2021-07-07-04-54-56-946964 EdgeServer-1 192.168.0.2 AP-1 SVCQ 15 (recvd)
2021-07-07-04-54-57-047535 EdgeServer-1 AP-1 EdgeServer-1 SVCR 15 (sent)
2021-07-07-13-54-57-118745 AP-1 192.168.0.113 EdgeServer-1 SVCR 15 (recvd)
2021-07-07-13-54-57-224714 AP-1 USER AP-1 SVCR 15 (sent)
2021-07-07-13-54-57-239986 USER 192.168.0.2 AP-1 SVCR 14 (recvd)
2021-07-07-13-54-57-752910 USER AP-1 USER SVCQ 16 (sent)
2021-07-07-13-54-57-859364 AP-1 192.168.0.2 USER SVCQ 16 (recvd)
2021-07-07-13-54-57-964524 AP-1 EdgeServer-1 AP-1 SVCQ 16 (sent)
2021-07-07-04-54-57-991287 EdgeServer-1 192.168.0.2 AP-1 SVCQ 16 (recvd)
2021-07-07-04-54-58-093893 EdgeServer-1 AP-1 EdgeServer-1 SVCR 16 (sent)
2021-07-07-13-54-58-174643 AP-1 192.168.0.113 EdgeServer-1 SVCR 16 (recvd)
2021-07-07-13-54-58-266075 USER 192.168.0.2 AP-1 SVCR 15 (recvd)
2021-07-07-13-54-58-281066 AP-1 USER AP-1 SVCR 16 (sent)
2021-07-07-13-54-58-779810 USER AP-1 USER SVCQ 17 (sent)
2021-07-07-13-54-58-810316 AP-1 192.168.0.2 USER SVCQ 17 (recvd)
2021-07-07-13-54-58-915473 AP-1 EdgeServer-1 AP-1 SVCQ 17 (sent)
2021-07-07-04-54-58-922617 EdgeServer-1 192.168.0.2 AP-1 SVCQ 17 (recvd)
2021-07-07-04-54-59-026430 EdgeServer-1 AP-1 EdgeServer-1 SVCR 17 (sent)
2021-07-07-13-54-59-126908 AP-1 192.168.0.113 EdgeServer-1 SVCR 17 (recvd)
