2021-07-07-18-33-24-734552 LOGR LOGR start
2021-07-07-18-33-29-243649 CTRL CTRL start
2021-07-07-18-33-45-024483 AP-1 AP-1 start ['.\\ap-3.py', 'AP-1', '-1']
2021-07-07-18-33-45-024483 AP-1 EdgeServer1 start  (initial launch)
2021-07-07-18-35-12-161593 EdgeServer-X EdgeServer-X Need 3 args! ['.\\docker-server-4.py']
2021-07-07-18-35-25-764828 EdgeServer-X EdgeServer-X Incorrect EdgeServer name! EdgeServer-1
2021-07-07-18-35-33-722801 EdgeServer1 EdgeServer1 start ['.\\docker-server-4.py', 'EdgeServer1', '-1']
2021-07-07-18-35-33-836601 EdgeServer1 AP-1 EdgeServer1 ES-READY (sent)
2021-07-07-18-35-33-943290 AP-1 127.0.0.1 EdgeServer1 ES-READY (recvd)
2021-07-07-18-36-18-206045 USER USER start ['.\\user-5.py', '-1']
2021-07-07-18-36-26-367848 AP-1 EdgeServer1 AP-1 SVCQ 7 (sent)
2021-07-07-18-36-26-474493 EdgeServer1 127.0.0.1 AP-1 SVCQ 7 (recvd)
2021-07-07-18-36-26-579592 EdgeServer1 AP-1 EdgeServer1 SVCR 7 (sent)
2021-07-07-18-36-26-685266 AP-1 127.0.0.1 EdgeServer1 SVCR 7 (recvd)
2021-07-07-18-36-26-761261 USER 127.0.0.1 AP-1 SVCR 6 (recvd)
2021-07-07-18-36-26-791422 AP-1 USER AP-1 SVCR 7 (sent)
2021-07-07-18-36-27-261694 USER AP-1 USER SVCQ 8 (sent)
2021-07-07-18-36-27-322486 AP-1 127.0.0.1 USER SVCQ 8 (recvd)
2021-07-07-18-36-27-427888 AP-1 EdgeServer1 AP-1 SVCQ 8 (sent)
2021-07-07-18-36-27-533189 EdgeServer1 127.0.0.1 AP-1 SVCQ 8 (recvd)
2021-07-07-18-36-27-639732 EdgeServer1 AP-1 EdgeServer1 SVCR 8 (sent)
2021-07-07-18-36-27-746490 AP-1 127.0.0.1 EdgeServer1 SVCR 8 (recvd)
2021-07-07-18-36-27-777035 USER 127.0.0.1 AP-1 SVCR 7 (recvd)
2021-07-07-18-36-27-853713 AP-1 USER AP-1 SVCR 8 (sent)
2021-07-07-18-36-28-277900 USER AP-1 USER SVCQ 9 (sent)
2021-07-07-18-36-28-384315 AP-1 127.0.0.1 USER SVCQ 9 (recvd)
