2021-07-07-18-24-06-428406 EdgeServer1 AP-1 EdgeServer1 SVCR 7 (sent)
2021-07-07-18-24-06-534609 AP-1 127.0.0.1 EdgeServer1 SVCR 7 (recvd)
2021-07-07-18-24-06-564747 USER 127.0.0.1 AP-1 SVCR 6 (recvd)
2021-07-07-18-24-06-641110 AP-1 USER AP-1 SVCR 7 (sent)
2021-07-07-18-24-07-066348 USER AP-1 USER SVCQ 8 (sent)
2021-07-07-18-24-07-172349 AP-1 127.0.0.1 USER SVCQ 8 (recvd)
2021-07-07-18-24-07-278703 AP-1 EdgeServer1 AP-1 SVCQ 8 (sent)
2021-07-07-18-24-07-384443 EdgeServer1 127.0.0.1 AP-1 SVCQ 8 (recvd)
2021-07-07-18-24-07-490002 EdgeServer1 AP-1 EdgeServer1 SVCR 8 (sent)
2021-07-07-18-24-07-581030 USER 127.0.0.1 AP-1 SVCR 7 (recvd)
2021-07-07-18-24-07-596196 AP-1 127.0.0.1 EdgeServer1 SVCR 8 (recvd)
2021-07-07-18-24-07-702696 AP-1 USER AP-1 SVCR 8 (sent)
2021-07-07-18-24-08-081747 USER AP-1 USER SVCQ 9 (sent)
2021-07-07-18-24-08-127829 AP-1 127.0.0.1 USER SVCQ 9 (recvd)
2021-07-07-18-24-08-234094 AP-1 EdgeServer1 AP-1 SVCQ 9 (sent)
2021-07-07-18-24-08-340015 EdgeServer1 127.0.0.1 AP-1 SVCQ 9 (recvd)
2021-07-07-18-24-08-447379 EdgeServer1 AP-1 EdgeServer1 SVCR 9 (sent)
2021-07-07-18-24-08-554812 AP-1 127.0.0.1 EdgeServer1 SVCR 9 (recvd)
2021-07-07-18-24-08-585655 USER 127.0.0.1 AP-1 SVCR 8 (recvd)
2021-07-07-18-24-08-660655 AP-1 USER AP-1 SVCR 9 (sent)
2021-07-07-18-24-09-088233 USER AP-1 USER SVCQ 10 (sent)
2021-07-07-18-24-09-194534 AP-1 127.0.0.1 USER SVCQ 10 (recvd)
2021-07-07-18-24-09-300300 AP-1 EdgeServer1 AP-1 SVCQ 10 (sent)
2021-07-07-18-24-09-405311 EdgeServer1 127.0.0.1 AP-1 SVCQ 10 (recvd)
2021-07-07-18-24-09-511468 EdgeServer1 AP-1 EdgeServer1 SVCR 10 (sent)
